"Date","Open","High","Low","Close","Volume","OpenInt"
"2009-01-02",26.977,28.499,26.671,28.363,1330615,0
"2009-01-05",27.891,30.666,27.789,30.124,2824858,0
"2009-01-06",30.362,31.31,30.191,30.801,2179203,0
"2009-01-07",30.124,30.26,29.211,29.55,1629856,0
"2009-01-08",29.55,30.091,29.109,29.922,1059600,0
"2009-01-09",29.278,30.464,29.075,29.55,1185124,0
"2009-01-12",28.906,30.124,27.619,27.992,1792772,0
"2009-01-13",27.925,28.636,27.823,28.466,2015039,0
"2009-01-14",28.06,28.161,26.334,26.807,2123749,0
"2009-01-15",26.671,26.773,24.811,26.468,2129448,0
"2009-01-16",27.011,27.654,25.554,26.029,2820798,0
"2009-01-20",26.366,26.366,24.811,25.047,2457879,0
"2009-01-21",25.487,26.535,24.878,26.468,1984250,0
"2009-01-22",25.487,26.434,24.709,25.69,2306269,0
"2009-01-23",24.337,24.368,20.478,23.659,3289230,0
"2009-01-26",24.066,24.676,22.712,23.322,2088876,0
"2009-01-27",23.626,24.607,23.05,24.269,1963968,0
"2009-01-28",24.676,25.69,24.066,25.183,1707439,0
"2009-01-29",24.811,24.844,23.388,23.591,1500479,0
"2009-01-30",24.031,24.539,22.306,22.474,2038800,0
"2009-02-02",22.136,22.746,21.832,22.474,1432357,0
"2009-02-03",22.509,23.015,21.765,22.949,1575734,0
"2009-02-04",23.015,23.626,22.306,22.679,1523937,0
"2009-02-05",22.339,23.151,21.798,22.915,1370466,0
"2009-02-06",22.88,23.998,22.643,23.897,1463763,0
"2009-02-09",23.794,23.862,23.388,23.761,1228553,0
"2009-02-10",23.591,23.93,21.798,22.136,2060791,0
"2009-02-11",22.474,22.779,21.832,22.509,1928001,0
"2009-02-12",22.036,22.136,21.088,22.069,1920872,0
"2009-02-13",22.136,22.339,21.526,21.798,1361629,0
"2009-02-17",21.223,21.223,20.308,20.511,1692779,0
"2009-02-18",20.613,20.75,19.969,20.241,1591094,0
"2009-02-19",20.411,20.647,19.631,19.8,1511029,0
"2009-02-20",18.886,19.328,18.446,18.683,2020670,0
"2009-02-23",18.855,18.855,17.906,18.007,1668895,0
"2009-02-24",18.141,19.294,17.94,19.09,2032235,0
"2009-02-25",19.022,19.564,18.007,19.124,2345100,0
"2009-02-26",19.394,19.699,18.007,18.109,1707883,0
"2009-02-27",17.838,18.244,17.396,17.533,2425916,0
"2009-03-02",17.228,17.364,15.806,16.078,2837809,0
"2009-03-03",16.35,16.35,15.198,15.536,1892973,0
"2009-03-04",15.84,16.619,15.299,16.247,1805832,0
"2009-03-05",15.943,16.044,14.655,15.062,2157667,0
"2009-03-06",15.198,15.502,14.147,14.488,2399851,0
"2009-03-09",14.283,14.961,13.946,14.114,2077638,0
"2009-03-10",14.352,16.247,14.048,16.214,3026618,0
"2009-03-11",16.247,16.957,15.806,16.179,1567962,0
"2009-03-12",15.875,16.992,15.773,16.889,1865655,0
"2009-03-13",16.992,17.94,16.925,17.566,1488229,0
"2009-03-16",17.769,18.109,17.329,17.329,1552200,0
"2009-03-17",17.601,17.601,16.925,17.566,1684439,0
"2009-03-18",17.465,18.548,17.093,18.21,1617120,0
"2009-03-19",18.414,18.65,17.94,18.076,1517685,0
"2009-03-20",16.551,16.925,14.385,14.69,4646337,0
"2009-03-23",15.435,16.144,15.062,16.144,2254987,0
"2009-03-24",15.909,16.417,15.401,15.739,2087612,0
"2009-03-25",15.909,17.127,15.909,16.518,2446928,0
"2009-03-26",16.721,17.973,16.721,17.973,2435465,0
"2009-03-27",17.736,17.736,16.856,17.262,1833967,0
"2009-03-30",16.823,16.925,15.299,15.536,2427875,0
"2009-03-31",16.009,16.044,15.367,15.401,2159471,0
"2009-04-01",15.739,16.247,15.23,16.078,1638604,0
"2009-04-02",16.417,17.632,16.179,16.856,2646019,0
"2009-04-03",16.856,17.127,16.314,16.925,2163672,0
"2009-04-06",16.889,16.889,15.943,16.45,2440608,0
"2009-04-07",16.179,16.45,15.806,15.909,1686102,0
"2009-04-08",16.28,16.823,15.909,16.585,2135077,0
"2009-04-09",16.856,18.548,16.856,18.481,2743921,0
"2009-04-13",18.446,18.446,17.465,18.041,1822037,0
"2009-04-14",17.871,18.514,17.601,18.141,1399476,0
"2009-04-15",18.041,18.446,17.669,18.414,1231066,0
"2009-04-16",18.548,19.631,18.277,19.462,1443765,0
"2009-04-17",19.564,20.207,19.124,20.037,1585683,0
"2009-04-20",19.666,19.699,18.007,18.141,1674215,0
"2009-04-21",18.007,19.495,18.007,18.818,2150710,0
"2009-04-22",18.582,20.072,18.514,19.193,2379319,0
"2009-04-23",18.954,19.631,17.973,19.429,3653476,0
"2009-04-24",20.006,20.784,19.495,20.139,2436983,0
"2009-04-27",19.631,19.699,18.683,18.989,2439348,0
"2009-04-28",18.752,19.53,18.65,19.294,1693253,0
"2009-04-29",19.394,20.647,19.294,19.969,2175003,0
"2009-04-30",20.241,21.425,20.241,20.682,2183407,0
"2009-05-01",20.817,21.967,20.817,21.798,2339369,0
"2009-05-04",22.172,22.339,21.697,22.202,2297545,0
"2009-05-05",22.238,22.577,21.832,22.069,2454861,0
"2009-05-06",22.373,22.712,21.594,22.643,3672256,0
"2009-05-07",22.915,23.151,22.069,22.306,3366713,0
"2009-05-08",22.779,22.779,21.798,22.643,2817755,0
"2009-05-11",22.339,22.441,21.73,21.967,1818036,0
"2009-05-12",22.509,22.509,20.375,20.713,2765507,0
"2009-05-13",20.445,20.817,19.836,20.173,1787089,0
"2009-05-14",20.173,21.832,19.903,21.391,2421053,0
"2009-05-15",21.425,21.933,20.817,21.088,2172967,0
"2009-05-18",21.256,22.172,21.223,22.136,1436723,0
"2009-05-19",22.61,23.118,22.238,22.88,1455354,0
"2009-05-20",23.05,24.168,23.015,23.354,3426989,0
"2009-05-21",23.322,23.322,22.61,23.085,3946477,0
"2009-05-22",23.085,23.557,22.746,22.949,1233448,0
"2009-05-26",22.814,23.828,22.441,23.455,2872294,0
"2009-05-27",23.118,23.49,22.849,22.949,2169105,0
"2009-05-28",23.253,23.388,22.202,22.88,2325568,0
"2009-05-29",22.983,23.286,22.509,23.015,1851606,0
"2009-06-01",23.388,23.998,22.915,23.659,2135947,0
"2009-06-02",23.423,24.066,23.423,23.761,1270611,0
"2009-06-03",23.524,23.93,22.915,23.219,1784595,0
"2009-06-04",23.761,24.64,23.626,24.539,1937704,0
"2009-06-05",24.811,25.216,23.964,24.066,2234004,0
"2009-06-08",24.066,24.234,23.354,24.031,1428041,0
"2009-06-09",24.201,24.47,23.692,24.099,953028,0
"2009-06-10",24.269,24.575,23.557,23.93,1701392,0
"2009-06-11",23.998,24.676,23.591,23.692,2180874,0
"2009-06-12",23.591,24.168,23.015,23.626,1555708,0
"2009-06-15",23.423,23.897,23.118,23.354,1289335,0
"2009-06-16",23.354,23.897,23.322,23.524,1871537,0
"2009-06-17",23.557,23.761,23.219,23.354,1420424,0
"2009-06-18",23.455,23.659,22.949,23.322,1049331,0
"2009-06-19",23.524,23.524,22.679,22.814,2367200,0
"2009-06-22",22.577,22.679,21.662,21.73,1184274,0
"2009-06-23",21.832,21.967,21.189,21.662,1294289,0
"2009-06-24",21.73,22.679,21.73,21.967,989505,0
"2009-06-25",21.765,22.577,21.494,22.509,873360,0
"2009-06-26",22.373,22.541,22.069,22.441,1192657,0
"2009-06-29",22.509,22.712,22.069,22.407,1171979,0
"2009-06-30",22.441,22.779,21.798,21.933,1310684,0
"2009-07-01",22.001,22.949,21.9,22.373,1010067,0
"2009-07-02",22.136,22.172,21.662,21.662,1251397,0
"2009-07-06",21.561,21.967,20.919,21.256,1119714,0
"2009-07-07",21.189,21.391,20.445,20.478,1024139,0
"2009-07-08",20.375,20.647,20.037,20.546,1863129,0
"2009-07-09",20.647,20.952,20.308,20.478,1162018,0
"2009-07-10",20.411,20.713,20.274,20.682,811518,0
"2009-07-13",20.713,21.425,20.241,21.391,1262363,0
"2009-07-14",21.289,22.001,20.952,21.832,1463727,0
"2009-07-15",22.272,22.577,22.001,22.541,1422464,0
"2009-07-16",22.272,23.186,22.272,23.151,782811,0
"2009-07-17",23.085,23.322,22.509,22.679,1228509,0
"2009-07-20",22.88,23.692,22.679,23.692,945934,0
"2009-07-21",23.692,23.93,23.015,23.455,1536487,0
"2009-07-22",23.455,24.099,23.423,23.692,1710141,0
"2009-07-23",24.099,26.468,23.761,26.165,3452394,0
"2009-07-24",24.64,26.875,24.64,26.74,1729927,0
"2009-07-27",26.503,26.909,25.622,26.841,1700671,0
"2009-07-28",26.807,28.024,26.638,27.823,1807575,0
"2009-07-29",27.619,27.891,27.212,27.789,2004689,0
"2009-07-30",27.992,28.838,27.654,28.161,1403923,0
"2009-07-31",28.161,28.296,27.449,27.72,1381614,0
"2009-08-03",28.363,28.669,27.483,27.756,1541957,0
"2009-08-04",27.585,28.669,27.449,28.296,1685313,0
"2009-08-05",28.432,29.144,28.126,28.803,1669989,0
"2009-08-06",28.973,29.109,28.296,28.432,2275474,0
"2009-08-07",28.906,29.109,28.432,28.601,1713297,0
"2009-08-10",28.398,29.616,28.398,29.584,2038895,0
"2009-08-11",29.144,29.584,28.432,28.568,2137539,0
"2009-08-12",28.499,29.448,28.296,28.803,2434020,0
"2009-08-13",28.701,29.009,28.195,28.872,980521,0
"2009-08-14",29.009,29.109,28.296,28.669,1022017,0
"2009-08-17",28.195,28.432,27.246,27.552,1263580,0
"2009-08-18",27.416,27.891,27.416,27.856,794830,0
"2009-08-19",27.348,28.669,27.348,28.499,1291464,0
"2009-08-20",28.262,28.432,27.789,28.024,1347674,0
"2009-08-21",28.195,28.973,27.891,28.601,1241015,0
"2009-08-24",28.701,29.144,28.601,28.973,1348493,0
"2009-08-25",29.075,29.853,29.075,29.514,1926080,0
"2009-08-26",29.55,29.616,28.94,29.514,1181913,0
"2009-08-27",29.244,29.99,28.973,29.922,1210375,0
"2009-08-28",30.124,30.768,29.718,30.091,1263195,0
"2009-08-31",29.922,29.922,28.973,29.278,1299408,0
"2009-09-01",29.109,30.056,28.534,28.636,1613737,0
"2009-09-02",28.499,28.636,28.094,28.23,1590762,0
"2009-09-03",28.363,28.838,28.06,28.534,1249686,0
"2009-09-04",28.534,29.278,28.363,29.244,886492,0
"2009-09-08",29.481,29.718,29.109,29.244,1035097,0
"2009-09-09",29.345,30.091,29.144,29.99,1496543,0
"2009-09-10",30.631,31.748,30.327,31.716,2113289,0
"2009-09-11",31.748,31.918,30.868,31.039,1855865,0
"2009-09-14",30.734,31.039,30.464,31.004,1434045,0
"2009-09-15",32.494,32.595,31.68,32.358,2949280,0
"2009-09-16",32.561,32.831,32.188,32.392,2189181,0
"2009-09-17",32.392,33,31.986,32.188,2171128,0
"2009-09-18",32.392,32.494,31.952,32.087,1851819,0
"2009-09-21",32.053,32.087,31.512,31.952,1776264,0
"2009-09-22",31.986,32.224,31.14,31.174,1991885,0
"2009-09-23",31.072,31.883,31.072,31.512,2048866,0
"2009-09-24",31.648,31.918,30.631,30.903,1448354,0
"2009-09-25",30.666,31.14,30.464,30.532,1106207,0
"2009-09-28",26.74,26.74,24.539,25.993,42225257,0
"2009-09-29",26.706,27.282,26.299,26.807,22559574,0
"2009-09-30",27.383,27.416,26.064,26.197,12848455,0
"2009-10-01",26.231,26.334,24.98,25.353,13988805,0
"2009-10-02",25.047,25.047,24.405,24.776,11147248,0
"2009-10-05",25.149,25.487,24.539,25.183,10149235,0
"2009-10-06",25.385,25.521,24.575,24.742,9957853,0
"2009-10-07",24.676,24.811,24.337,24.539,10158847,0
"2009-10-08",24.946,25.858,24.505,25.758,12664874,0
"2009-10-09",25.792,26.74,25.657,26.231,9154156,0
"2009-10-12",26.503,26.74,26.299,26.401,4982174,0
"2009-10-13",26.57,26.671,25.554,25.622,6701020,0
"2009-10-14",26.029,26.13,25.69,26.13,4862324,0
"2009-10-15",25.993,26.13,25.724,26.029,3954385,0
"2009-10-16",25.894,26.029,25.521,25.758,5314475,0
"2009-10-19",25.792,26.605,25.724,26.401,6496274,0
"2009-10-20",26.434,26.977,26.029,26.638,7512857,0
"2009-10-21",26.468,26.942,25.894,26.13,8926471,0
"2009-10-22",26.74,27.449,26.334,27.18,16747508,0
"2009-10-23",27.045,27.18,26.503,26.671,7292878,0
"2009-10-26",26.74,27.045,26.265,26.299,8207944,0
"2009-10-27",26.366,26.671,25.894,26.13,6050093,0
"2009-10-28",25.927,26.13,25.283,25.353,4279197,0
"2009-10-29",25.758,26.197,25.657,26.096,4369891,0
"2009-10-30",26.13,26.13,25.283,25.453,5998718,0
"2009-11-02",25.317,25.69,24.776,25.353,5600776,0
"2009-11-03",25.251,25.622,25.047,25.59,3884129,0
"2009-11-04",25.724,27.246,25.724,26.807,11491312,0
"2009-11-05",26.841,27.212,26.74,26.875,5921861,0
"2009-11-06",26.706,27.078,26.57,26.841,3128235,0
"2009-11-09",27.045,27.314,26.909,27.314,3924683,0
"2009-11-10",26.909,27.078,26.434,26.535,4434128,0
"2009-11-11",26.773,26.841,26.13,26.706,4551510,0
"2009-11-12",26.605,27.078,26.401,26.57,6351830,0
"2009-11-13",26.57,26.773,26.299,26.605,4226823,0
"2009-11-16",26.706,27.246,26.671,27.112,4497337,0
"2009-11-17",27.112,27.246,26.773,27.045,4502360,0
"2009-11-18",27.078,27.078,26.638,26.875,3618367,0
"2009-11-19",26.638,26.74,26.13,26.334,4776912,0
"2009-11-20",26.265,26.638,26.165,26.503,2961757,0
"2009-11-23",26.875,26.977,26.706,26.841,3580335,0
"2009-11-24",26.841,26.909,26.605,26.807,2331491,0
"2009-11-25",26.909,26.909,26.638,26.773,2842702,0
"2009-11-27",25.961,26.535,25.554,26.366,1490232,0
"2009-11-30",26.231,26.401,25.858,26.064,3085908,0
"2009-12-01",26.334,26.74,26.165,26.503,3941507,0
"2009-12-02",26.299,26.671,26.265,26.401,2829129,0
"2009-12-03",26.468,26.535,26.165,26.265,1942679,0
"2009-12-04",26.57,26.807,26.334,26.773,6111401,0
"2009-12-07",26.841,27.078,26.468,26.74,2530089,0
"2009-12-08",26.503,26.605,26.334,26.401,2508490,0
"2009-12-09",26.334,26.807,26.029,26.74,2956857,0
"2009-12-10",26.875,27.145,26.638,26.671,3512153,0
"2009-12-11",26.706,26.977,26.671,26.841,2333834,0
"2009-12-14",26.977,27.925,26.909,27.823,5690522,0
"2009-12-15",27.891,28.499,27.449,28.296,7080552,0
"2009-12-16",28.398,29.514,28.296,28.466,9168961,0
"2009-12-17",28.363,28.669,27.992,28.534,3613730,0
"2009-12-18",28.636,28.838,28.126,28.33,3491111,0
"2009-12-21",28.466,28.838,28.23,28.701,2041290,0
"2009-12-22",28.669,29.312,28.568,29.041,3371163,0
"2009-12-23",29.041,29.144,28.77,28.94,1567537,0
"2009-12-24",29.075,29.481,28.906,29.278,712041,0
"2009-12-28",29.211,29.448,28.601,28.701,3047599,0
"2009-12-29",28.701,29.414,28.601,29.041,2570231,0
"2009-12-30",28.906,29.345,28.77,29.312,2130926,0
"2009-12-31",29.144,29.312,28.568,28.636,2804461,0
